show_id,type,title,country,release_year,listed_in
s1,Movie,Seoul Stories,South Korea,2021,"International Movies, Dramas"
s2,TV Show,Tech Titans,United States,2020,"Documentaries, Science & Nature TV"
s3,Movie,Mumbai Dreams,India,2019,"Dramas, International Movies"
s4,Movie,Barcelona Nights,Spain,2018,"Romantic Movies, International Movies"
s5,TV Show,Nordic Noir,Sweden,2017,"Crime TV Shows, International TV"
s6,Movie,Rio Beats,Brazil,2021,"Music & Musicals, Documentaries"
s7,TV Show,Maple Mysteries,Canada,2020,"Crime TV Shows, Dramas"
s8,Movie,Desert Mirage,Mexico,2016,"Thrillers, Dramas"
s9,TV Show,London Lines,United Kingdom,2015,"Comedies, International TV"
s10,Movie,Paris Palette,France,2014,"Dramas, Independent Movies"
s11,TV Show,Tokyo Tales,Japan,2021,"Anime Series, International TV"
s12,Movie,Berlin Code,Germany,2019,"Thrillers, International Movies"
s13,TV Show,Cape Town Cooks,South Africa,2018,"Reality TV, International TV"
s14,Movie,Sydney Surf,Australia,2020,"Sports Movies, Documentaries"
s15,TV Show,NYC Nights,United States,2019,"Dramas, TV Dramas"
s16,Movie,Seine Secrets,France,2020,"Thrillers, Dramas"
s17,Movie,Delhi Detectives,India,2021,"Crime Movies, Thrillers"
s18,TV Show,Amazon Awakened,Brazil,2019,"Documentaries, Science & Nature TV"
s19,Movie,Munich Melody,Germany,2017,"Comedies, Music & Musicals"
s20,TV Show,Lagos Legacy,Nigeria,2021,"Dramas, International TV"
s21,Movie,Quebec Quest,Canada,2018,"Adventure, Documentaries"
s22,TV Show,Seoul Startup,South Korea,2020,"Reality TV, International TV"
s23,Movie,Brighton Breeze,United Kingdom,2016,"Dramas, Romantic Movies"
s24,TV Show,Tokyo Transit,Japan,2018,"Docuseries, International TV"
s25,Movie,Andes Echoes,Chile,2015,"Documentaries, International Movies"
s26,TV Show,Arctic Architects,Canada,2021,"Science & Nature TV, Documentaries"
s27,Movie,Madrid Mosaics,Spain,2021,"Dramas, Independent Movies"
s28,TV Show,Bangalore Beats,India,2020,"Reality TV, Music & Dance"
s29,Movie,Kyoto Kitchens,Japan,2016,"Documentaries, Food & Travel"
s30,TV Show,Brooklyn Bridges,United States,2021,"Documentaries, Social & Cultural Docs"
s31,Movie,Lisbon Lights,Portugal,2019,"Romantic Movies, Dramas"
s32,TV Show,Andalusian Artists,Spain,2017,"Reality TV, International TV"
s33,Movie,Helsinki Horizon,Finland,2018,"Thrillers, International Movies"
s34,TV Show,Oslo Origins,Norway,2020,"Documentaries, Science & Nature TV"
s35,Movie,Jakarta Journey,Indonesia,2017,"Adventure, Dramas"
s36,TV Show,Manila Makers,Philippines,2019,"Reality TV, International TV"
s37,Movie,Cairo Chronicles,Egypt,2018,"Dramas, Historical"
s38,TV Show,Buenos Aires Beats,Argentina,2021,"Music & Musicals, International TV"
s39,Movie,Istanbul Insights,Turkey,2020,"Documentaries, Dramas"
s40,TV Show,Seoul Stories: Series,South Korea,2019,"Dramas, Romantic TV"
s41,Movie,Mexico City Memoir,Mexico,2021,"Dramas, International Movies"
s42,TV Show,Toronto Trailblazers,Canada,2017,"Docuseries, International TV"
s43,Movie,Lima Legends,Peru,2016,"Documentaries, Sports Movies"
s44,TV Show,Edinburgh Echo,United Kingdom,2021,"Comedies, International TV"
s45,Movie,Nairobi Nights,Kenya,2020,"Thrillers, Dramas"
s46,TV Show,Riyadh Rhythms,Saudi Arabia,2019,"Music & Musicals, International TV"
s47,Movie,Zurich Zenith,Switzerland,2018,"Documentaries, Dramas"
s48,TV Show,Athens Archives,Greece,2017,"Docuseries, International TV"
s49,Movie,Bangkok Beats,Thailand,2021,"Music & Musicals, International Movies"
s50,TV Show,Dublin Docks,Ireland,2016,"Documentaries, International TV"
s51,Movie,Warsaw Waves,Poland,2019,"Dramas, Independent Movies"
s52,TV Show,Bogota Beats,Colombia,2020,"Music & Musicals, Reality TV"
s53,Movie,Hanoi Heritage,Vietnam,2018,"Historical, Dramas"
s54,TV Show,Seoul Studio,South Korea,2017,"Reality TV, International TV"
s55,Movie,Cape Coast,Ghana,2016,"Documentaries, Historical"
s56,TV Show,Jakarta Journeys,Indonesia,2021,"Travel, Reality TV"
s57,Movie,Osaka Odyssey,Japan,2020,"Anime Features, Action"
s58,TV Show,Lisbon Labs,Portugal,2021,"Documentaries, Science & Nature TV"
s59,Movie,Zurich Zephyr,Switzerland,2021,"Thrillers, Dramas"
s60,TV Show,Stockholm Stories,Sweden,2021,"Docuseries, International TV"
